,RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,WeightClassLabel,BlueHeight,BlueReach,RedHeight,RedReach,ROver35,BOver35,RWinPct,BWinPct,RedStrikingRatio,BlueStrikingRatio,RedTotalFights,BlueTotalFights,RedIsGrappler,BlueIsGrappler,RedIsStriker,BlueIsStriker,RGrapplerVBStriker,BGrapplerVRStriker,RedStrikingEfficiency,BlueStrikingEfficiency,RedTDEfficiency,BlueTDEfficiency,RedEffectiveTD,BlueEffectiveTD,EffectiveTDDif,RedSize,BlueSize,Favorite,FavoriteWins,draw_diff,avg_sig_str_pct_diff,avg_TD_pct_diff,win_by_Decision_Majority_diff,win_by_Decision_Split_diff,win_by_Decision_Unanimous_diff,win_by_TKO_Doctor_Stoppage_diff,odds_diff,ev_diff
5491,615,729,-455.0,405.0,21.978,405.0, Brazil,Red,False,3,1,3,1,0,0,3.0,0.3,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,125,3,0,0,52.6667,0.4,0.0,2.0,0.26,0,3,9,0,0,0,0,0,0,0,0,Orthodox,125,29,32,2,0,0,0,2,-8,0,0,0,0.0,5.08,-3,-49.6667,0.0,-2.0,0.0,,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,-130.0,500.0,550.0,1650.0,328.0,1100.0,Featherweight,65.0,66.0,65.0,64.0,0,0,0.0,0.0,0.9461078167019061,0.05389218329809384,3,1,0,0,1,0,0,0,21.06668,0.8999999999999999,0.52,0.0,0.0,,,129.0,131.0,Red,1,0,-0.10000000000000003,-0.26,0,0,0,0,860.0,383.022
5492,1294,953,-1000.0,800.0,10.0,800.0, Brazil,Red,False,2,1,3,1,0,0,43.0,0.69,0.0,4.0,0.66,0,1,3,0,0,0,0,0,0,0,0,Orthodox,145,0,2,0,17.75,0.405,1.0,2.25,0.295,2,1,10,0,0,0,2,0,1,0,3,Orthodox,135,28,32,-1,-2,-2,-3,0,-7,0,0,-1,0.0,2.54,-4,25.25,-1.0,1.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,329.0,1500.0,-300.0,2800.0,1050.0,1257.0,Heavyweight,66.0,68.0,66.0,67.0,0,0,0.75,0.0,0.29218106995884774,0.7078189300411523,4,1,0,1,1,1,0,1,7.188750000000001,29.669999999999998,0.66375,2.64,0.4444444444444444,0.0,-0.4444444444444444,133.0,134.0,Red,1,0,0.2849999999999999,0.36500000000000005,0,0,-2,0,1800.0,790.0
5493,479,616,-120.0,110.0,83.3333,110.0, Brazil,Blue,False,5,1,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,205,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,205,29,33,1,0,0,0,1,-1,0,0,0,-10.16,-10.16,-4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,552.0,,1000.0,,115.0,,Catch Weight,73.0,75.0,77.0,79.0,0,0,0.0,,,,1,0,0,0,0,0,0,0,0.0,,0.0,,,,,156.0,148.0,Red,0,0,,,0,0,0,0,230.0,26.666700000000006
5494,1591,237,-192.0,177.0,52.0833,177.0, Brazil,Red,False,8,1,3,1,0,0,21.0,0.25,0.0,3.0,0.33,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170,29,31,-1,0,0,0,-1,3,0,0,0,5.08,-10.16,-2,21.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,1:36,96.0,167.0,360.0,500.0,745.0,412.0,665.0,Women's Strawweight,73.0,71.0,71.0,75.0,0,0,,0.0,,,0,1,0,0,0,1,0,0,,5.25,,0.99,,0.0,,146.0,144.0,Red,1,0,,,0,0,0,0,369.0,124.91669999999999
5495,419,904,-420.0,375.0,23.8095,375.0, USA,Red,True,3,1,5,0,2,0,30.0,0.44,0.5,1.0,0.5,2,0,4,0,0,0,0,1,1,0,2,Orthodox,125,0,3,0,69.0,0.481,0.0,4.0,0.414,3,2,27,3,0,1,4,0,0,0,5,Orthodox,125,26,29,0,-1,-1,-3,2,-23,-3,1,1,7.62,0.0,-3,-39.0,0.5,-3.0,0.0,4.0,0.0,,,,,,,,,,,,0.0,7.0,,,,,,,,,,,,4.0,,Red,SUB,Armbar,5.0,3:43,1423.0,-180.0,950.0,625.0,850.0,475.0,800.0,Featherweight,66.0,66.0,63.0,66.0,0,0,0.7142857142857143,1.0,0.696969696969697,0.30303030303030304,7,2,1,0,1,1,1,0,33.189,13.2,1.656,0.5,0.0,0.5,0.5,129.0,132.0,Red,1,0,-0.04099999999999998,0.08600000000000002,0,-1,-4,0,795.0,351.1905
5496,1365,768,-230.0,210.0,43.4783,210.0, USA,Red,False,8,1,3,0,2,0,24.3,0.446,0.3,1.8,0.481,6,2,22,0,0,1,2,4,0,1,8,Orthodox,170,0,4,0,44.3333,0.523,0.6667,2.5,0.51,4,1,13,0,0,0,2,2,1,0,5,Orthodox,170,24,28,0,-2,2,3,-1,9,0,3,-1,-7.62,-12.7,-4,-20.0333,-0.3667,-0.7,0.0,4.0,3.0,,,,,,,,3.0,,,,,,,,,,,,,4.0,,,,,,Red,U-DEC,,3.0,5:00,900.0,,525.0,,1400.0,,300.0,Women's Strawweight,69.0,71.0,72.0,76.0,0,0,0.8333333333333334,0.8,0.6459444613620502,0.3540555386379498,6,10,0,0,1,1,0,0,23.1863159,10.8378,1.275,0.8658,0.26668,0.16666666666666666,-0.10001333333333332,148.0,140.0,Red,1,0,-0.07700000000000001,-0.029000000000000026,0,1,0,1,440.0,166.5217
5497,1337,203,-345.0,315.0,28.9855,315.0, USA,Red,False,8,1,3,1,0,0,83.0,0.47,0.0,4.0,0.8,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170,0,1,0,21.25,0.434,0.0,1.625,0.563,3,3,15,0,0,0,2,3,0,0,5,Southpaw,170,31,34,-1,-1,-3,-5,2,-12,0,-3,0,2.54,2.54,-3,61.75,0.0,2.375,0.0,,9.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Kick,2.0,0:24,324.0,260.0,425.0,1700.0,1150.0,-115.0,675.0,Women's Strawweight,72.0,75.0,71.0,74.0,0,0,0.625,0.0,0.2038369304556355,0.7961630695443646,8,1,0,1,1,1,0,1,9.2225,39.01,0.9148749999999999,3.2,0.0,0.0,0.0,145.0,147.0,Red,1,0,0.035999999999999976,0.2370000000000001,0,0,-2,0,660.0,286.0145
5498,965,841,-500.0,435.0,20.0,435.0, USA,Red,False,9,0,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,115,1,0,0,4.0,0.66,1.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,Orthodox,125,29,21,1,0,0,0,1,-1,-1,0,0,-12.7,-10.16,8,-4.0,-1.0,0.0,0.0,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punches,2.0,3:57,537.0,240.0,650.0,175.0,1000.0,200.0,1200.0,Women's Flyweight,61.0,61.99999999999999,66.0,66.0,0,0,0.0,,,,1,0,0,0,0,0,0,0,2.64,,0.0,,inf,,,132.0,123.0,Red,1,0,,,0,0,0,0,935.0,415.0
5499,1103,936,255.0,-280.0,255.0,35.7143, USA,Blue,False,6,1,3,0,1,0,50.0,0.37,0.0,6.0,0.75,1,0,3,0,0,0,1,0,0,0,1,Orthodox,170,0,2,0,7.0,0.35,1.5,1.0,0.265,2,0,3,1,0,0,0,0,2,0,2,Southpaw,170,25,28,0,-1,-1,-1,0,0,-1,0,-2,-5.08,-2.54,-3,43.0,-1.5,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,D'Arce Choke,2.0,4:59,599.0,550.0,177.0,350.0,1205.0,2650.0,165.0,Lightweight,71.0,74.0,73.0,75.0,0,0,1.0,1.0,0.12280701754385964,0.8771929824561403,2,1,0,1,1,1,0,1,2.4499999999999997,18.5,0.265,4.5,1.5,0.0,-1.5,148.0,145.0,Blue,1,0,0.020000000000000018,0.485,0,0,1,0,-535.0,-219.2857
5500,392,1772,-265.0,245.0,37.7358,245.0, USA,Red,False,6,1,3,1,0,0,50.6667,0.47,0.0,0.0,0.0,2,1,7,0,0,0,1,1,0,0,2,Orthodox,170,0,1,0,34.1429,0.54,0.1429,2.8571,0.431,3,2,18,0,0,1,3,1,0,0,5,Orthodox,155,33,29,-1,-1,-1,-3,1,-11,0,0,0,12.7,10.16,4,16.5238,-0.1429,-2.8571,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,-105.0,580.0,570.0,1845.0,470.0,400.0,Lightweight,74.0,75.0,69.0,71.0,0,0,0.7142857142857143,0.6666666666666666,0.40258296230615404,0.597417037693846,7,3,0,0,1,1,0,0,18.437166,23.813349,1.2314101,0.0,0.05001575023625355,,,140.0,149.0,Red,1,0,-0.07000000000000006,-0.431,0,-1,-2,0,510.0,207.26420000000002
