RedFighter,BlueFighter,Winner,RMatchWCRank,BMatchWCRank,RedWins,RedLosses,BlueWins,BlueLosses,WinDif,LossDif,RedHeight,BlueHeight,RedReach,BlueReach,ReachDif,RedAvgSigStrLanded,RedAvgSigStrPct,BlueAvgSigStrLanded,BlueAvgSigStrPct,SigStrDif,RedStrikingRatio,BlueStrikingRatio,RedOdds,BlueOdds,RKOOdds,BKOOdds,RSubOdds,BSubOdds,RedDecOdds,BlueDecOdds,Favorite
Jhonata Diniz,Alvin Hines,Red ,,,8,1,7,0,-1,-1,76,74,79.5,75,-4.5,3.36,0.53,0,0,-3.36,1,0,-340,270,,,,,,,Jhonata Diniz
Derrick Lewis,Tallison Teixeira,Red ,9,13,28,12,8,0,-20,-12,75,79,79,83,4,2.48,0.5,14.61,0.59,12.13,0.1451141018,0.8548858982,210,-280,,,,,,,Tallison Teixeira
Stephen Thompson,Gabriel Bonfim,Blue ,12,,17,8,17,1,0,-7,72,73,75,72.5,-2.5,4.11,0.46,5.22,0.43,1.11,0.4405144695,0.5594855305,320,-410,,,,,,,Gabriel Bonfim
Calvin Kattar,Steve Garcia,Blue ,14,,23,9,17,5,-6,-4,71,72,72,75,3,4.6,0.38,5.04,0.56,0.44,0.4771784232,0.5228215768,105,-125,,,,,,,Steve Garcia
Nate Landwehr,Morgan Charriere,Blue ,,,18,6,20,11,2,5,69,68,72,69,-3,5.59,0.46,3.46,0.49,-2.13,0.617679558,0.382320442,220,-270,,,,,,,Morgan Charriere
Vitor Petrino,Austin Lane,Red ,,,11,2,13,6,2,4,74,78,77.5,80,2.5,2.83,0.45,2.89,0.5,0.06,0.4947552448,0.5052447552,-750,525,,,,,,,Vitor Petrino
Junior Tafa,Tuco Tokkos,Blue ,,,6,3,10,5,4,2,75,76,75,76,1,3.36,0.49,2.51,0.38,-0.85,0.5724020443,0.4275979557,-162,136,,,,,,,Junior Tafa
Max Griffin,Chris Curtis,Blue ,,,20,12,32,12,12,0,71,70,76,75.5,-0.5,3.75,0.49,6.16,0.52,2.41,0.3784056509,0.6215943491,260,-325,,,,,,,Chris Curtis
Jake Matthews,Chidi Njokuani,Red ,,,21,7,25,10,4,3,71,75,73,80,7,3.45,0.43,4.72,0.62,1.27,0.4222766218,0.5777233782,124,-148,,,,,,,Chidi Njokuani
Lauren Murphy,Eduarda Moura,Blue ,,,16,6,11,1,-5,-5,65,66,67,67,0,4.05,0.39,2.6,0.49,-1.45,0.6090225564,0.3909774436,455,-625,,,,,,,Eduarda Moura
Kennedy Nzechukwu,Valter Walker,Blue ,,,14,5,13,1,-1,-4,77,78,83,78.5,-4.5,5.37,0.46,1.79,0.51,-3.58,0,0,-205,170,,,,,,,Kennedy Nzechukwu
Mitch Ramirez,Mike Davis,Blue ,,,8,2,11,3,3,1,71,72,71,72.5,1.5,2.37,0.42,0,0,-2.37,1,0,650,-1000,,,,,,,Mike Davis
Fatima Kline,Melissa Martinez,Red ,,,7,1,8,1,1,0,66,62,67,66,-1,2.21,0.47,3.9,0.52,1.69,0.3617021277,0.6382978723,-1200,750,,,,,,,Fatima Kline
Max Holloway,Dustin Poirier,Red ,5,6,26,8,30,9,4,1,71,69,69,72,3,7.16,0.47,5.3,0.5,-1.86,0.5746388443,0.4253611557,-118,-102,,,,,,,Max Holloway
Paulo Costa,Roman Kopylov,Red ,13,14,14,4,14,3,0,-1,73,72,72,75,3,6.22,0.58,4.96,0.5,-1.26,0.5563506261,0.4436493739,200,-245,,,,,,,Roman Kopylov
Kevin Holland,Daniel Rodriguez,Blue ,13,,28,13,19,5,-9,-8,75,73,81,74,-7,4.24,0.5,7.39,0.48,3.15,0.3645743766,0.6354256234,,,,,,,,,
Dan Ige,Patricio Pitbull,Blue ,11,,19,9,36,8,17,-1,67,66,71,66,-5,3.67,0.45,2.45,0.4,-1.22,0.5996732026,0.4003267974,-166,140,,,,,,,Dan Ige
Michael Johnson,Daniel Zellhuber,Red ,,,24,19,15,2,-9,-17,70,73,73.5,77,3.5,4.23,0.39,6.26,0.4,2.03,0.4032411821,0.5967588179,275,-345,,,,,,,Daniel Zellhuber
Kyler Phillips,Vinicius Oliveira,Blue ,12,15,12,3,22,3,10,0,68,69,72,70.5,-1.5,5.28,0.44,4.92,0.44,-0.36,0.5176470588,0.4823529412,,,,,,,,,
Marvin Vettori,Brendan Allen,Blue ,10,11,19,8,24,7,5,-1,72,74,74,75,1,4.54,0.46,3.55,0.53,-0.99,0.5611866502,0.4388133498,,,,,,,,,
Francisco Prada,Nikolay Veretennikov,Blue ,,,12,3,12,6,0,3,70,73,69,74,5,4.38,0.41,2.73,0.56,-1.65,0.6160337553,0.3839662447,,,,,,,,,
Ateba Gautier,Robert Valentin,Red ,,,7,1,11,5,4,4,76,74,81,77,-4,6.06,0.64,1.1,0.58,-4.96,0.8463687151,0.1536312849,,,,,,,,,
Adam Fugitt,Islam Dulatov,Blue ,,,10,4,1,0,-9,-4,73,75,77,75,-2,4.72,0.45,14.27,0.56,9.55,0.2485518694,0.7514481306,,,,,,,,,
Jimmy Crute,Marcin Prachnio,Red ,,,12,4,17,8,5,4,74,75,74,74,0,4.37,0.53,5.57,0.54,1.2,0.439637827,0.560362173,,,,,,,,,
Ryan Spann,Lukasz Brzeski,Red ,,,22,11,9,6,-13,-5,77,75,79,78,-1,3.2,0.39,5.02,0.5,1.82,0.3892944039,0.6107055961,,,,,,,,,
Brunno Ferreira,Jackson McVey,Red ,,,13,2,6,0,-7,-2,70,74,72,77,5,3.54,0.49,0,0,-3.54,1,0,,,,,,,,,
Carli Judice,Nicolle Caliari,Red ,,,4,2,8,3,4,1,67,63,68,62,-6,11.18,0.54,3.85,0.42,-7.33,0.743845642,0.256154358,,,,,,,,,
Robert Whittaker,Reinier De Ridder,Blue ,5,13,27,8,20,2,-7,-6,70,74,73.5,78,4.5,4.54,0.43,3.25,0.6,-1.29,0.5827984596,0.4172015404,-162,136,,,,,,,Robert Whittaker
Petr Yan,Marcus McGhee,Red ,3,12,18,5,10,1,-8,-4,67,68,67,69,2,5.11,0.54,6.06,0.48,0.95,0.4574753805,0.5425246195,,,,,,,,,
